day,date,dayArea,brief,routeFlow,cat,time,name,addr,lat,lng,reserved,area,note,link
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Gentle Monster Aoyama Flagship store,5-3-2 Minamiaoyama  Minato City  Tokyo 107-0062  Japan,35.6625,139.7130,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,EYEVAN Tokyo Gallery,5-13-2 Minamiaoyama  Minato City  Tokyo 107-0062  Japan,35.6621,139.7132,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Eyevol Tokyo Store,5-12-6 Minamiaoyama  Minato City  Tokyo 107-0062  Japan,35.6625,139.7130,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,オプティカルテーラー クレイドル 青山店,,35.6618,139.7118,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,AMAM DACOTAN,3-7-6 Kita-Aoyama  Minato City  Tokyo 107-0061  Japan,35.6672,139.7088,false,北青山3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,12:00,Butagumi,2-24-9 Nishi-Azabu  Minato City  Tokyo 106-0031  Japan,35.6592,139.7215,true,西麻布2丁目,中午12點 有訂位,https://maps.app.goo.gl/vA8s6SjWbyP2FvBA9
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Onitsuka Tiger Omotesando Yellow Concept,4-24-14 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6683,139.7061,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,KOFFEE MAMEYA,,35.6675,139.7088,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,THE ROASTERY by NOZY COFFEE,,35.6657,139.7042,false,神宮前5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Higuma Doughnuts x Coffee Wrights,,35.6685,139.7095,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,cafe,,Satella,1-7-5 Shibuya  Shibuya City  Tokyo 150-0002  Japan,35.6608,139.7053,false,涉谷2丁目,路過可吃,https://maps.app.goo.gl/G8V2H97XbyW8sFvBA
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Shibuya Parco,15-1 Udagawacho  Shibuya City  Tokyo 150-0042  Japan,35.6620,139.6985,false,宇田川町,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,FREAK'S STORE Shibuya,1-13-1 Jinnan  Shibuya City  Tokyo 150-0041  Japan,35.6626,139.7001,false,神南1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Fuunji Shinjuku,2-14-3 Yoyogi  Shibuya City  Tokyo 151-0053  Japan,35.6865,139.6980,false,代代木2丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,Yuji,1-1-1 Nishi-Shinjuku  Shinjuku City  Tokyo 160-0023  Japan,35.6920,139.6990,false,西新宿1丁目,,https://maps.app.goo.gl/tS3iL8XjLqUbeGfLA
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Pet Paradise Shibuya,1-22-11 Jinnan  Shibuya City  Tokyo 150-0041  Japan,35.6611,139.6997,false,神南1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BEAMS JAPAN SHIBUYA,1-2-3 Dogenzaka  Shibuya City  Tokyo 150-0043  Japan,35.6585,139.6975,false,道玄坂2丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,晚餐待定,,,,false,神宮前1丁目,可能路邊居酒屋,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,代官山＋中目黑,,35.6485,139.7005,false,代官山,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,food,,Motenashi Kuroki,2-15-8 Kanda Izumicho  Chiyoda City  Tokyo 101-0024  Japan,35.6710,139.7090,false,神宮前3丁目,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,food,,Tsukumo Ramen Ebisu Honten,1-1-10 Hiroo  Shibuya City  Tokyo 150-0012  Japan,35.6467,139.7101,false,廣尾1丁目,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,food,,AFURI Ebisu,1-1-7 Ebisunishi  Shibuya City  Tokyo 150-0022  Japan,35.6484,139.7076,false,惠比壽,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,food,,L'Antica Pizzeria da Michele Ebisu branch,4-4-7 Ebisu  Shibuya City  Tokyo 150-0013  Japan,35.6457,139.7121,false,惠比壽,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,FREAK ' S STORE Rumineesutoshinjukuwimenzuten,,35.6911,139.7016,false,新宿3丁目,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,FREAK'S STORE MEN'S +ANDY FREAK'S STORE,,35.6911,139.7016,false,新宿3丁目,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,FREAK'S STORE Shibuya,1-13-1 Jinnan  Shibuya City  Tokyo 150-0041  Japan,35.6626,139.7001,false,神南1丁目,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,food,,Yuji,1-1-1 Nishi-Shinjuku  Shinjuku City  Tokyo 160-0023  Japan,35.6920,139.6990,false,西新宿1丁目,不可預定要去吃，只能付現,https://maps.app.goo.gl/tS3iL8XjLqUbeGfLA
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Suzuya Shinjuku Honten,,35.6934,139.7011,false,歌舞伎町,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,food,,海鮮居酒屋 鮪ノ司 新宿店,,35.6931,139.7025,false,歌舞伎町,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Nodapin,,35.6938,139.7019,false,歌舞伎町,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,ONIBUS coffee,,35.6441,139.6989,false,中目黑,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,豆虎 自由が丘焙煎所,,35.6074,139.6685,false,中目黑,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Neel,,35.6445,139.6934,false,中目黑,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,FUGLEN TOKYO,,35.6631,139.6898,false,富ヶ谷,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Sidewalk stand,,35.6455,139.6925,false,中目黑,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Beasty Coffee,,35.6642,139.6885,false,富ヶ谷,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Camelback sandwich & espresso,,35.6638,139.6912,false,富ヶ谷,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,About life coffee brewers,,35.6582,139.6961,false,道玄坂2丁目,,
Day 3,10/2（五）,涉谷・惠比壽,涉谷潮流商圈漫步，傍晚前往 Shibuya Sky 俯瞰東京夜景。,神南;道玄坂;涉谷;惠比壽,shop,,Iron coffee,,35.6521,139.6454,false,豪德寺,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,food,,Tanyaki Shinobu,9 Sanyeicho  Shinjuku City  Tokyo 160-0008  Japan,35.6882,139.7289,false,四谷,換飯店路上,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,shop,,PST Higashi Azabu,1-3-8 Higashi-Azabu  Minato City  Tokyo 106-0044  Japan,35.6568,139.7431,false,東麻布,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,food,,Kanda Ramen Waizu,2-3-1 Interior Kanda  Chiyoda City  Tokyo 101-0047  Japan,35.6918,139.7712,false,神田須田町1丁目,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,cafe,,Echiré Maison du Beurre Marunouchi Store,2-6-1 Marunouchi  Chiyoda City  Tokyo 100-6901  Japan,35.6812,139.7649,false,丸之內2丁目,dessert,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,sight,,東京鐵塔,,35.6586,139.7454,false,芝公園4丁目,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,shop,,Iruca Tokyo Roppongi,,35.6639,139.7323,false,六本木,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,food,,Sushi no Midori,,35.6698,139.7601,false,銀座1丁目,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,food,,Jirocho Sushi,,35.6685,139.7571,false,銀座1丁目,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,shop,,OK Ginza Store,,35.6720,139.7615,false,銀座1丁目,要去逛,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,shop,,Unison Taylor Ningyocho,,35.6865,139.7818,false,人形町,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,food,,藍瓶清澄白河店,,35.6816,139.8005,false,清澄白河,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,shop,,Arise coffee Roasters,,35.6811,139.7995,false,清澄白河,,
Day 4,10/3（六）,神田・丸之內,切換住宿至神田，探索丸之內與周邊頂級美食。,神田;丸之內,shop,,Allpress Espresso,,35.6828,139.8016,false,清澄白河,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,food,,Pizzeria da Peppe Napoli Sta’ Ca”,1-11-21 Kamiyacho  Minato City  Tokyo 105-0001  Japan,35.6596,139.7438,false,神谷町,可吃可不吃,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,sight,,Tokyo Skytree,,35.7100,139.8107,false,押上,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,food,,Hontosaya,2-14-12 Nishiasakusa  Taito City  Tokyo 111-0035  Japan,35.7139,139.7915,false,西淺草,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,shop,17:30,ASA虎,2-14-12 Asakusa  Taito City  Tokyo 111-0032  Japan,35.7142,139.7951,true,淺草2丁目,omakase 17:30 有訂位,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,food,,Ramen Kamo to Negi Ueno Okachimachi Main Store,,35.7077,139.7749,false,上野公園,午餐,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,shop,,Noguchi fish store and restaurant,2-1-3 Higashikoma  Sumida City  Tokyo 130-0005  Japan,35.7052,139.8015,false,本所,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,shop,,回程可以去秋葉原,,35.6983,139.7715,false,神田東松下町,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,food,,Hontosaya,2-14-12 Nishiasakusa  Taito City  Tokyo 111-0035  Japan,35.7139,139.7915,false,西淺草,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,food,,Ramen Kamo to Negi Ueno Okachimachi Main Store,,35.7077,139.7749,false,上野公園,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,shop,,BONGEN coffee,,35.6713,139.7712,false,銀座1丁目,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,shop,,Glitch coffee,,35.6705,139.7733,false,銀座1丁目,,
Day 5,10/4（日）,東京鐵塔・麻布,走訪東京地標鐵塔，漫步麻布十番與銀座精緻商圈。,東京鐵塔/芝公園;麻布十番;銀座,shop,,Turret Coffee Tsukiji,,35.6681,139.7718,false,銀座1丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,food,,Sushi no Midori,,35.6698,139.7601,false,銀座1丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,cafe,,noix de beurre Ginza Mitsukoshi Store,4-6-16 Ginza  Chuo City  Tokyo 104-8212  Japan,35.6715,139.7656,false,銀座4丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,shop,,Sakadachi,1-5-2 Ginza  Chuo City  Tokyo 104-0061  Japan,35.6718,139.7650,false,銀座1丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,cafe,,Age.3 GINZA,1-24-11 Ginza  Chuo City  Tokyo 104-0061  Japan,35.6712,139.7710,false,銀座1丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,food,,Sushi Mikata,1-5-1 Ginza  Chuo City  Tokyo 104-0061  Japan,35.6725,139.7681,false,銀座1丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,sight,17:20,Shibuya Sky,2-24-12 Shibuya  Shibuya City  Tokyo 150-0002  Japan,35.6580,139.7016,true,涉谷2丁目,已訂位 17:20,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,food,,月島燒,,35.6636,139.7821,false,月島,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,shop,,Fuglen Asakusa,,35.7148,139.7942,false,淺草2丁目,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,shop,,Nomade coffee tokyo,,35.7118,139.8142,false,押上,,
Day 6,10/5（一）,淺草・上野,下町經典散策：淺草寺參拜與上野公園漫步。,淺草;上野公園,shop,,Bark Bark & Roast,,35.7005,139.7891,false,藏前,,
Day 7,10/6（二）,返程,整理行囊前往成田機場，準備搭機返台。,成田機場,shop,,Narita Airport 成田國際機場,,35.771987,140.392850,false,成田機場,,
